State,Year,Population
Georgia,2021,10790385
North Carolina,2021,10567100
Michigan,2021,10038117
New Jersey,2021,9269175
Virginia,2021,8657348
Washington,2021,7741433
Arizona,2021,7272487
Tennessee,2021,6963709
Massachusetts,2021,6991951
Indiana,2021,6813798
Missouri,2021,6170393
Maryland,2021,6175045
Wisconsin,2021,5879978
Colorado,2021,5811596
Minnesota,2021,5717968
South Carolina,2021,5193848
Alabama,2021,5050380
Louisiana,2021,4627047
Kentucky,2021,4507600
Oregon,2021,4256465
Oklahoma,2021,3991634
Connecticut,2021,3603691
Utah,2021,3339284
Iowa,2021,3197944
Nevada,2021,3146632
Arkansas,2021,3028443
Kansas,2021,2937946
Mississippi,2021,2949582
New Mexico,2021,2116950
Idaho,2021,1904537
Nebraska,2021,1964253
West Virginia,2021,1785249
Hawaii,2021,1446745
New Hampshire,2021,1387494
Maine,2021,1378787
Montana,2021,1106366
Rhode Island,2021,1097092
Delaware,2021,1004881
South Dakota,2021,896299
North Dakota,2021,777982
Alaska,2021,734923
Vermont,2021,647093
Wyoming,2021,579548
California,2020,39503200
Texas,2020,29234361
Florida,2020,21591299
New York,2020,20104710
Pennsylvania,2020,12995477
Illinois,2020,12790357
Ohio,2020,11798292
Georgia,2020,10732390
North Carolina,2020,10453812
Michigan,2020,10070627
New Jersey,2020,9272392
Virginia,2020,8637193
Washington,2020,7724566
Arizona,2020,7186683
Tennessee,2020,6926091
Massachusetts,2020,6997713
Indiana,2020,6789098
Missouri,2020,6154426
Maryland,2020,6173689
Wisconsin,2020,5896700
Colorado,2020,5785219
Minnesota,2020,5710578
South Carolina,2020,5132151
Alabama,2020,5031864
Louisiana,2020,4652022
Kentucky,2020,4508155
Oregon,2020,4245044
Oklahoma,2020,3965234
Connecticut,2020,3577586
Utah,2020,3283982
Iowa,2020,3190904
Nevada,2020,3115840
Arkansas,2020,3014348
Kansas,2020,2938124
Mississippi,2020,2958409
New Mexico,2020,2118488
Idaho,2020,1849339
Nebraska,2020,1963273
West Virginia,2020,1791562
Hawaii,2020,1451181
New Hampshire,2020,1378702
Maine,2020,1364517
Montana,2020,1087211
Rhode Island,2020,1096444
Delaware,2020,991862
South Dakota,2020,887852
North Dakota,2020,779563
Alaska,2020,732964
Vermont,2020,642936
Wyoming,2020,577664
California,2019,39437610
Texas,2019,28986794
Florida,2019,21492056
New York,2019,19463131
Pennsylvania,2019,12798883
Illinois,2019,12667017
Ohio,2019,11696507
Georgia,2019,10628020
North Carolina,2019,10501384
Michigan,2019,9984795
New Jersey,2019,8891258
Virginia,2019,8556642
Washington,2019,7614024
Arizona,2019,7291843
Tennessee,2019,6830325
Massachusetts,2019,6894883
Indiana,2019,6731010
Missouri,2019,6140475
Maryland,2019,6054954
Wisconsin,2019,5824581
Colorado,2019,5758486
Minnesota,2019,5640053
South Carolina,2019,5157702
Alabama,2019,4907965
Louisiana,2019,4658285
Kentucky,2019,4472345
Oregon,2019,4216116
Oklahoma,2019,3960676
Connecticut,2019,3566022
Utah,2019,3203383
Iowa,2019,3159596
Nevada,2019,3090771
Arkansas,2019,3020985
Kansas,2019,2912635
Mississippi,2019,2978227
New Mexico,2019,2099634
Idaho,2019,1789060
Nebraska,2019,1932571
West Virginia,2019,1795263
Hawaii,2019,1415615
New Hampshire,2019,1360783
Maine,2019,1345770
Montana,2019,1070123
Rhode Island,2019,1058158
Delaware,2019,976668
South Dakota,2019,887127
North Dakota,2019,763724
Alaska,2019,733603
Vermont,2019,624046
Wyoming,2019,580116
