Year,State,FIPS Code,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
2002,District of Columbia,11.0,461675.5,308799.9166666667,66.5,287238.5,61.833333333333336,21561.416666666668,6.583333333333333
2002,Florida,12.0,12994202.25,8051471.833333333,61.666666666666664,7653031.25,58.083333333333336,398440.5833333333,4.5
2002,Georgia,13.0,6350716.25,4342345.916666667,68.0,4112496.4166666665,64.0,229849.5,5.0
2002,Hawaii,15.0,914847.0,602106.8333333334,65.25,577782.3333333334,63.0,24324.5,3.5
2002,Idaho,16.0,988250.3333333334,685790.25,69.0,647284.0833333334,65.0,38506.166666666664,5.0
2002,Illinois,17.0,9465460.0,6342373.25,66.5,5926615.083333333,62.166666666666664,415758.1666666667,6.0
2002,Indiana,18.0,4657189.75,3162310.0833333335,67.58333333333333,2998596.1666666665,64.0,163713.91666666666,5.0
2002,Iowa,19.0,2246552.8333333335,1628820.1666666667,72.0,1563947.9166666667,69.0,64872.25,3.8333333333333335
2002,Kansas,20.0,2028297.0,1419472.75,69.58333333333333,1347469.3333333333,66.0,72003.41666666667,5.0
2002,Kentucky,21.0,3129416.75,1945028.6666666667,62.0,1832434.75,58.0,112593.91666666667,5.0
2002,Los Angeles County,37.0,7219398.583333333,4743001.166666667,65.16666666666667,4418433.083333333,60.916666666666664,324568.0833333333,6.25
2002,Louisiana,22.0,3309706.9166666665,2014526.6666666667,60.166666666666664,1893792.75,57.0,120733.91666666667,5.583333333333333
2002,Maine,23.0,1015879.25,678708.4166666666,66.16666666666667,648417.3333333334,63.25,30291.083333333332,4.0
2002,Maryland,24.0,4106698.6666666665,2872825.4166666665,69.58333333333333,2735451.5,66.0,137373.91666666666,4.25
2002,Massachusetts,25.0,5006050.25,3436281.0,68.0,3257060.0,64.75,179221.0,4.916666666666667
2002,Michigan,26.0,7621514.833333333,5035814.666666667,65.58333333333333,4723716.5,61.666666666666664,312098.1666666667,6.0
2002,Minnesota,27.0,3823097.9166666665,2873470.5,75.0,2744959.0,71.16666666666667,128511.5,4.0
2002,Mississippi,28.0,2111954.25,1290895.1666666667,61.0,1208021.5,57.0,82873.66666666667,6.0
2002,Missouri,29.0,4310430.166666667,2981217.5833333335,68.75,2823788.8333333335,65.0,157428.75,5.0
2002,Montana,30.0,700096.0,466338.5833333333,66.0,445074.1666666667,63.0,21264.416666666668,4.0
2002,Nebraska,31.0,1298974.1666666667,953139.5,73.0,918054.6666666666,70.0,35084.833333333336,3.0
2002,Nevada,32.0,1634789.9166666667,1134186.5,68.91666666666667,1069790.5833333333,64.91666666666667,64395.916666666664,5.0
2002,New Hampshire,33.0,980304.4166666666,700544.75,71.0,669067.1666666666,68.0,31477.583333333332,4.0
2002,New Jersey,34.0,6535943.5,4345566.416666667,66.0,4094865.0,62.0,250701.41666666666,5.0
2002,New Mexico,35.0,1372720.6666666667,866903.8333333334,63.0,819365.5,59.0,47538.333333333336,5.0
2002,New York,36.0,14735313.416666666,9295902.75,62.833333333333336,8719487.0,58.916666666666664,576415.75,6.0
2002,New York city,51000.0,6281877.083333333,3720689.25,59.0,3422414.3333333335,54.0,298274.9166666667,7.666666666666667
2002,North Carolina,37.0,6286161.25,4208891.75,66.58333333333333,3917253.3333333335,61.833333333333336,291638.4166666667,6.416666666666667
2002,North Dakota,38.0,484700.8333333333,342491.9166666667,70.0,330888.4166666667,68.0,11603.5,3.0
2002,Ohio,39.0,8709513.333333334,5829596.083333333,66.33333333333333,5491861.416666667,62.916666666666664,337734.6666666667,5.0
2002,Oklahoma,40.0,2611230.4166666665,1685810.8333333333,64.0,1607799.4166666667,61.0,78011.41666666667,4.0
2002,Oregon,41.0,2720797.4166666665,1834440.5833333333,67.0,1697223.5833333333,62.0,137217.0,7.0
2002,Pennsylvania,42.0,9559023.75,6213768.25,64.75,5869153.833333333,60.916666666666664,344614.4166666667,5.0
2002,Rhode Island,44.0,827928.0,550394.5833333334,66.16666666666667,522335.0833333333,62.666666666666664,28059.5,4.5
2002,South Carolina,45.0,3098739.1666666665,1954965.4166666667,62.666666666666664,1829183.9166666667,58.666666666666664,125781.5,6.0
2002,South Dakota,46.0,571138.4166666666,416897.3333333333,72.75,403418.3333333333,70.0,13479.0,3.0
2002,Tennessee,47.0,4444870.583333333,2898823.75,64.91666666666667,2750374.8333333335,61.5,148448.91666666666,4.666666666666667
2002,Texas,48.0,15780779.75,10743346.666666666,67.91666666666667,10061499.833333334,63.0,681846.8333333334,6.0
2002,Utah,49.0,1655613.0833333333,1179541.1666666667,71.0,1112766.25,66.83333333333333,66774.91666666667,5.0
2002,Vermont,50.0,483459.9166666667,343303.0,70.75,330113.8333333333,68.0,13189.166666666666,3.3333333333333335
2002,Virginia,51.0,5453730.833333333,3740188.4166666665,68.0,3576871.9166666665,65.0,163316.5,4.0
2002,Washington,53.0,4601381.25,3101306.0,67.0,2881745.5833333335,62.0,219560.41666666666,7.0
2002,West Virginia,54.0,1428455.1666666667,798758.25,55.583333333333336,747170.0833333334,51.916666666666664,51588.166666666664,6.0
2002,Wisconsin,55.0,4170446.0,3017466.9166666665,72.0,2856767.0,68.0,160699.91666666666,5.0
2002,Wyoming,56.0,379313.5833333333,269452.75,70.83333333333333,258627.33333333334,68.0,10825.416666666666,3.6666666666666665
2003,Alabama,1.0,3421469.0833333335,2128286.5,62.0,2001012.75,58.0,127273.75,5.583333333333333
2003,Alaska,2.0,459947.25,332337.5,71.83333333333333,306808.8333333333,66.25,25528.666666666668,7.0
2003,Arizona,4.0,4174320.0,2728848.5833333335,65.0,2570878.0833333335,61.0,157970.5,5.083333333333333
2003,Arkansas,5.0,2068569.5,1282379.6666666667,62.0,1208365.0,58.0,74014.66666666667,5.166666666666667
2003,California,6.0,26210570.583333332,17271797.583333332,65.5,16080423.25,61.0,1191374.3333333333,6.416666666666667
2003,Colorado,8.0,3451820.6666666665,2490189.1666666665,71.83333333333333,2338144.25,67.16666666666667,152044.91666666666,5.833333333333333
2003,Connecticut,9.0,2651471.5833333335,1785681.3333333333,67.0,1688269.8333333333,63.166666666666664,97411.5,5.0
2003,Delaware,10.0,622358.6666666666,415865.9166666667,66.08333333333333,397329.0833333333,63.25,18536.833333333332,4.0
2003,District of Columbia,11.0,461085.0,308615.4166666667,66.41666666666667,286138.8333333333,61.916666666666664,22476.583333333332,7.0
2003,Florida,12.0,13247146.5,8122815.666666667,61.0,7760328.333333333,58.0,362487.3333333333,4.0
2003,Georgia,13.0,6465778.416666667,4413245.916666667,67.83333333333333,4185872.5,64.0,227373.41666666666,4.75
2003,Hawaii,15.0,922736.0,603685.3333333334,65.0,580123.5833333334,62.333333333333336,23561.75,3.4166666666666665
2003,Idaho,16.0,1006837.5,691547.0833333334,68.33333333333333,653077.0,64.41666666666667,38470.083333333336,5.0
2003,Illinois,17.0,9515975.0,6310163.25,66.0,5884760.666666667,61.0,425402.5833333333,6.0
2003,Indiana,18.0,4687700.5,3177829.5,67.0,3010517.5833333335,63.916666666666664,167311.91666666666,5.0
2003,Iowa,19.0,2253298.4166666665,1607724.75,71.08333333333333,1536370.9166666667,67.75,71353.83333333333,4.0
2003,Kansas,20.0,2041136.8333333333,1440784.0833333333,70.0,1360895.75,66.0,79888.33333333333,5.0
2003,Kentucky,21.0,3156144.0833333335,1965518.25,62.0,1843910.1666666667,58.0,121608.08333333333,5.916666666666667
2003,Los Angeles County,37.0,7287059.166666667,4734117.083333333,64.58333333333333,4402757.333333333,60.0,331359.75,6.583333333333333
2003,Louisiana,22.0,3326117.5,2024411.8333333333,60.416666666666664,1897125.6666666667,56.75,127286.16666666667,5.833333333333333
2003,Maine,23.0,1026710.5833333334,684990.75,66.0,649742.25,63.0,35248.5,4.916666666666667
2003,Maryland,24.0,4156956.5833333335,2880283.25,69.0,2742247.8333333335,65.5,138035.41666666666,4.0
2003,Massachusetts,25.0,5028613.833333333,3418968.1666666665,67.5,3223150.25,64.0,195817.91666666666,5.0
2003,Michigan,26.0,7667603.916666667,5035476.583333333,65.0,4678458.5,60.5,357018.0833333333,6.666666666666667
2003,Minnesota,27.0,3859916.0833333335,2892974.1666666665,74.58333333333333,2754436.5,71.0,138537.66666666666,4.083333333333333
2003,Mississippi,28.0,2120642.3333333335,1304305.75,61.0,1224179.75,57.25,80126.0,5.666666666666667
2003,Missouri,29.0,4346055.75,2982964.5,68.0,2814222.1666666665,64.33333333333333,168742.33333333334,5.0
2003,Montana,30.0,708358.3333333334,470433.0,66.0,448164.25,63.0,22268.75,4.0
2003,Nebraska,31.0,1307146.5833333333,966920.5833333334,73.58333333333333,928727.8333333334,70.91666666666667,38192.75,3.5
